mls,price,address,beds,baths,sqft,year_built,lot_size,garage,agent,city
2124202,"$1,147,900","2809 E 4510 S, Holladay, UT 84117",6,3,2624,1959,0.20 Ac,2124202,"Contact Agent Marcelina Ontiveros 801-919-9083 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2124133,"$625,000","4350 S Albright Dr, Holladay, UT 84124",2,2,1254,1957,0.28 Ac,0,"Contact Agent Troy Rawlings 801-739-3845 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2123950,"$705,000","1610 E Moor Dale Ln, Holladay, UT 84117",3,2,2131,1962,0.23 Ac,1,"Contact Agent Matt Nielson 801-696-9975 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2124048,"$649,900","5111 S Moor Mont Dr, Holladay, UT 84117",4,2,1817,1956,0.34 Ac,2124048,"Contact Agent Jennifer Thompson 801-209-9471 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2123857,"$745,000","2805 E Cherry Blossom Ln, Holladay, UT 84117",4,3,2711,1962,0.19 Ac,2123857,"Contact Agent James Sweeten 801-808-0456 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2123758,"$725,000","1583  Meadowmoor Rd, Holladay, UT 84117",5,3,2724,1963,0.23 Ac,2123758,"Contact Agent Robynn L Eccles 801-419-2681 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2122385,"$4,000,000","6003 S Oakhill Dr, Holladay, UT 84121",8,5,10997,1958,1.38 Ac,2,"Contact Agent R. Scott Irvine 801-550-1822 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2122232,"$650,000","5780 S Minden Dr, Holladay, UT 84121",3,3,2468,1958,0.48 Ac,2122232,"Contact Agent Lisa Romero 801-433-7775 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2122199,"$1,749,500","1574 E Winward Dr, Holladay, UT 84117",4,4,3948,2020,0.26 Ac,2122199,"Contact Agent Mike Lindsay 801-580-5567 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2121858,"$795,000","2961 E Bonnie Brae Ave, Holladay, UT 84124",5,2,2637,1966,0.20 Ac,2121858,"Contact Agent Annika Q Finley 801-598-7786 Co-Agent Shauna Quick 801-550-4419 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
