mls,price,address,beds,baths,sqft,year_built,lot_size,garage,agent,city
2124118,"$3,495,973","769 W Ranch Cir, Alpine, UT 84004",8,9,14472,2008,1.02 Ac,2124118,"Contact Agent Ned Chidester 801-420-7653 Co-Agent Matthew Garlick 801-836-0494 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2124041,"$3,850,000","19 E Elk Ct, Alpine, UT 84004",7,7,8036,2020,0.61 Ac,2124041,"Contact Agent Tayte Lackey 208-427-4460 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2122882,"$719,000","475  Grove Dr, Alpine, UT 84004",5,2,2150,1969,0.50 Ac,2122882,"Contact Agent Caleb Eastman 801-419-4773 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2121304,"$1,500,000","48 N 100 E, Alpine, UT 84004",4,4,3808,1900,0.93 Ac,2121304,"Contact Agent Will S Jones 801-376-7239 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2119151,"$1,300,000","177 W Canyon Crest Rd, Alpine, UT 84004",5,3,3818,2002,0.47 Ac,2119151,"Contact Agent Cristie Berg 801-372-2751 Co-Agent Jared Berg 801-995-9177 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2118246,"$2,245,000","259 S Twin River Loop, Alpine, UT 84004",7,6,9119,2003,0.56 Ac,2,"Contact Agent Kerry Oman 801-369-2507 Co-Agent Mandy Bullock 801-548-2607 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2116152,"$1,350,000","1063 E Alpine Dr, Alpine, UT 84004",6,4,5102,1983,0.46 Ac,2116152,"Contact Agent Kara Ragsdale 801-870-6073 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2116014,"$1,499,000","667 E 770 N, Alpine, UT 84004",9,5,6262,2022,0.55 Ac,2,"Contact Agent Curry Jones 801-830-8199 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2115239,"$1,235,000","19 N Lone Peak Dr, Alpine, UT 84004",5,5,5587,1993,0.90 Ac,1,"Contact Agent Julie B. Pierce 801-830-9292 Co-Agent Mike C. Pierce 801-830-9393 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2115034,"$2,400,000","1801 N Fort Canyon Rd, Alpine, UT 84004",6,3,4491,1980,1.74 Ac,2115034,"Contact Agent Brett R Sellick 801-502-9955 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2112269,"$1,300,000","30 S Main St, Alpine, UT 84004",4,3,3812,1963,0.61 Ac,0,"Contact Agent LANCE B MILLER 801-367-2245 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2110898,"$3,399,000","382 E Heritage Dr, Alpine, UT 84004",8,8,11126,2017,0.50 Ac,2,"Contact Agent Dan Van Sweden 801-857-5831 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2109830,"$29,995,000","13322 N Grove Dr, Alpine, UT 84004",8,16,30912,2000,9.24 Ac,2109830,"Contact Agent John Woodley 801-839-4240 Co-Agent Thomas Larsen 801-404-1882 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2106417,"$1,399,000","88 W Cascade Ave, Alpine, UT 84004",7,3,5006,1999,0.62 Ac,2106417,"Contact Agent Bill Hurd 559-779-3179 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2106153,"$1,299,900","760 N Eagle View Dr., Alpine, UT 84004",4,4,6100,1994,0.78 Ac,2106153,"Contact Agent Sherry D Boren 801-360-0211 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2106592,"$3,499,000","516 E Savannah Cir, Alpine, UT 84004",8,6,9526,2023,0.46 Ac,2106592,"Contact Agent Howard Thruston 801-919-6900 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2100141,"$2,995,000","522 N Pfeifferhorn Dr, Alpine, UT 84004",11,9,13870,2005,0.76 Ac,6,"Contact Agent Mark Morgan 801-432-0044 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2101526,"$4,499,500","13055 N Prospector Way, Alpine, UT 84004",6,8,7677,2025,0.49 Ac,240,"Contact Agent Kimberly A Brown 801-918-8897 Co-Agent Leanna Deherrera 801-688-4060 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2095498,"$1,395,000","1292 E 810 S, Alpine, UT 84004",6,7,5145,1999,0.55 Ac,2095498,"Contact Agent Kassi Pontious 801-687-0222 Co-Agent Shelby Pontious 801-919-7549 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2090813,"$4,999,000","1449  Annie Cir, Alpine, UT 84004",7,9,8942,2025,0.47 Ac,4,"Contact Agent Angela Hill 801-367-5973 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2090244,"$3,150,000","3851 W Box Elder Cir, Alpine, UT 84004",4,4,7228,2025,0.47 Ac,2090244,"Contact Agent Michaela Kutilkova 646-469-0761 Co-Agent Christopher B Martindale 801-330-7430 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2088398,"$3,250,000","870 E Quail Hollow Cir, Alpine, UT 84004",8,7,12950,1996,2.16 Ac,2088398,"Contact Agent D. Spencer Minnick 801-560-1838 Co-Agent Rachel Green 801-694-3804 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2084324,"$2,399,000","1116 N Birch Cir, Alpine, UT 84004",8,6,10244,1979,1.99 Ac,2084324,"Contact Agent Gayle Jex 801-787-6466 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2084058,"$5,740,000","1677 N Elk Ridge Ln  #18, Alpine, UT 84004",6,7,14416,2026,1.01 Ac,3,"Contact Agent Kim Orlandini 801-647-4041 Co-Agent Flavio R Orlandini 801-647-4041 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2081790,"$2,999,000","820 N Eagle View Dr, Alpine, UT 84004",5,7,11340,1997,0.93 Ac,2081790,"Contact Agent Will S Jones 801-376-7239 Co-Agent Suzy Hunter 801-372-7996 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2081972,"$1,799,000","682 E Healey Blvd, Alpine, UT 84004",7,5,6583,2003,0.49 Ac,2081972,"Contact Agent JARED HANSEN 801-604-6472 Co-Agent Olga Fedorenko 385-321-0171 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2081715,"$2,650,000","3944 W Oak Hill Dr, Alpine, UT 84004",4,5,5725,2023,0.46 Ac,2081715,"Contact Agent Stephanie Poulos Arrasi 801-703-8780 Co-Agent Anthony S Arrasi 801-703-8779 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2079014,"$5,390,000","1641 N Dean Ct, Alpine, UT 84004",7,10,10149,2025,0.69 Ac,2025,"Contact Agent Angela Hill 801-367-5973 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2079575,"$5,900,000","1263 E Chapman Ct, Alpine, UT 84004",9,6,13354,2010,0.92 Ac,2079575,"Contact Agent Austin T Wilson 559-250-8688 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2077504,"$3,750,000","1333 N Eastview Ln, Alpine, UT 84004",4,5,8600,2016,0.61 Ac,4,"Contact Agent Will S Jones 801-376-7239 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2070530,"$2,699,000","1205 N Elkridge Ln, Alpine, UT 84004",7,6,9797,2013,0.49 Ac,2070530,"Contact Agent Lori Gee 801-891-8983 Co-Agent Rob Corcoran 801-209-2700 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2069388,"$7,500,000","196 S Holly Dr, Alpine, UT 84004",7,7,10969,2001,7.58 Ac,2069388,"Contact Agent John Woodley 801-839-4240 Co-Agent Thomas Larsen 801-404-1882 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2064600,"$2,195,000","629 S Pheasant Ridge Ct, Alpine, UT 84004",6,6,6255,2004,0.92 Ac,2064600,"Contact Agent Kim Sprague 801-319-6935 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2062957,"$1,495,000","1533  Rosanna Ln, Alpine, UT 84004",6,5,6987,1995,0.92 Ac,4,"Contact Agent Lucas Ballard 801-787-7973 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2059917,"$3,025,000","287 E Heritage Dr, Alpine, UT 84004",7,6,7919,2025,0.81 Ac,2,"Contact Agent Chase Adams 435-896-3097 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2017469,"$945,000","546 E River Meadow Dr, Alpine, UT 84004",4,4,3748,1995,0.46 Ac,4,"Contact Agent Matthew Barnard 801-656-5184 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",alpine
2124164,"$844,384","2973 N Scarlet Road Lot   #150, Eagle Mountain, UT 84005",4,3,5056,2025,0.75 Ac,2124164,"Contact Agent JeNee Hutchinson 435-313-3104 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",eagle-mountain
2124153,"$639,900","1184 E Blackfeet Dr  #501, Eagle Mountain, UT 84005",5,3,3051,2025,0.35 Ac,2124153,"Contact Agent Rachel Houskeeper 801-824-6349 Co-Agent Travis Schloderer 714-225-4668 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",eagle-mountain
2124090,"$515,000","7845 N Santa Clara Dr, Eagle Mountain, UT 84005",3,4,2593,2016,0.10 Ac,2124090,"Contact Agent Mary King 801-377-2696 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",eagle-mountain
2123921,"$439,000","1653 E Downwater St  #410, Eagle Mountain, UT 84005",6,3,2400,2016,0.09 Ac,2123921,"Contact Agent Bryan Hurd 801-574-5698 Co-Agent Heidi Wright 801-380-6910 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",eagle-mountain
2123802,"$470,000","6559 N Fiona St, Eagle Mountain, UT 84005",3,3,2157,2019,0.15 Ac,2123802,"Contact Agent Carter D Anderson 435-287-9514 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",eagle-mountain
2123829,"$550,000","7265 N Ute Dr, Eagle Mountain, UT 84005",5,4,2557,2004,0.19 Ac,2123829,"Contact Agent Sara Guenther 801-707-6818 Co-Agent Blake Walton 435-512-2713 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",eagle-mountain
